Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Mar 2026,SSD,14203031,Unity,Abiemnhom,first projection,2026-04-01,2026-07-31,all,61203,1.0
Mar 2026,SSD,14203031,Unity,Abiemnhom,first projection,2026-04-01,2026-07-31,3+,39782,0.65
Mar 2026,SSD,14203031,Unity,Abiemnhom,first projection,2026-04-01,2026-07-31,1,3060,0.05
Mar 2026,SSD,14203031,Unity,Abiemnhom,first projection,2026-04-01,2026-07-31,2,18361,0.3
Mar 2026,SSD,14203031,Unity,Abiemnhom,first projection,2026-04-01,2026-07-31,3,27541,0.45
Mar 2026,SSD,14203031,Unity,Abiemnhom,first projection,2026-04-01,2026-07-31,4,12241,0.2
Mar 2026,SSD,14203031,Unity,Abiemnhom,first projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Unity,Abiemnhom,second projection,2026-04-01,2026-07-31,all,61203,1.0
Mar 2026,SSD,14203031,Unity,Abiemnhom,second projection,2026-04-01,2026-07-31,3+,39782,0.65
Mar 2026,SSD,14203031,Unity,Abiemnhom,second projection,2026-04-01,2026-07-31,1,3060,0.05
Mar 2026,SSD,14203031,Unity,Abiemnhom,second projection,2026-04-01,2026-07-31,2,18361,0.3
Mar 2026,SSD,14203031,Unity,Abiemnhom,second projection,2026-04-01,2026-07-31,3,27541,0.45
Mar 2026,SSD,14203031,Unity,Abiemnhom,second projection,2026-04-01,2026-07-31,4,12241,0.2
Mar 2026,SSD,14203031,Unity,Abiemnhom,second projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Unity,Mayom,first projection,2026-04-01,2026-07-31,all,175695,1.0
Mar 2026,SSD,14203031,Unity,Mayom,first projection,2026-04-01,2026-07-31,3+,96632,0.55
Mar 2026,SSD,14203031,Unity,Mayom,first projection,2026-04-01,2026-07-31,1,26354,0.15
Mar 2026,SSD,14203031,Unity,Mayom,first projection,2026-04-01,2026-07-31,2,52709,0.3
Mar 2026,SSD,14203031,Unity,Mayom,first projection,2026-04-01,2026-07-31,3,70278,0.4
Mar 2026,SSD,14203031,Unity,Mayom,first projection,2026-04-01,2026-07-31,4,26354,0.15
Mar 2026,SSD,14203031,Unity,Mayom,first projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Unity,Mayom,second projection,2026-04-01,2026-07-31,all,175695,1.0
Mar 2026,SSD,14203031,Unity,Mayom,second projection,2026-04-01,2026-07-31,3+,96632,0.55
Mar 2026,SSD,14203031,Unity,Mayom,second projection,2026-04-01,2026-07-31,1,26354,0.15
Mar 2026,SSD,14203031,Unity,Mayom,second projection,2026-04-01,2026-07-31,2,52709,0.3
Mar 2026,SSD,14203031,Unity,Mayom,second projection,2026-04-01,2026-07-31,3,70278,0.4
Mar 2026,SSD,14203031,Unity,Mayom,second projection,2026-04-01,2026-07-31,4,26354,0.15
Mar 2026,SSD,14203031,Unity,Mayom,second projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Unity,Panyijiar,first projection,2026-04-01,2026-07-31,all,128173,1.0
Mar 2026,SSD,14203031,Unity,Panyijiar,first projection,2026-04-01,2026-07-31,3+,89721,0.7
Mar 2026,SSD,14203031,Unity,Panyijiar,first projection,2026-04-01,2026-07-31,1,12817,0.1
Mar 2026,SSD,14203031,Unity,Panyijiar,first projection,2026-04-01,2026-07-31,2,25635,0.2
Mar 2026,SSD,14203031,Unity,Panyijiar,first projection,2026-04-01,2026-07-31,3,57678,0.45
